year,party,age_bracket,n,anger,anger_dev
2025,Democrat,25,1080,0.477927260343589,-0.03324717690131318
2025,Democrat,30,2314,0.4658906870161794,-0.045283750228722774
2025,Democrat,35,13039,0.45513806070377305,-0.05603637654112914
2025,Democrat,40,13772,0.4437270571411169,-0.06744738010378531
2025,Democrat,45,23069,0.494661939108509,-0.016512498136393217
2025,Democrat,50,25387,0.4856755366460228,-0.02549890059887938
2025,Democrat,55,21678,0.5148218062936931,0.003647369048790927
2025,Democrat,60,20960,0.5061591027637335,-0.005015334481168643
2025,Democrat,65,19127,0.5400490061094247,0.028874568864522554
2025,Democrat,70,20584,0.5406197289754541,0.02944529173055188
2025,Democrat,75,18172,0.5775426548541588,0.0663682176092566
2025,Democrat,80,6433,0.5872360975775096,0.07606166033260742
2025,Democrat,85,1879,0.511613319693614,0.00043888244871181925
2025,Republican,30,1915,0.4804653411227772,0.11545490925239166
2025,Republican,35,9567,0.34497956470339586,-0.020030867166989708
2025,Republican,40,17258,0.33936125373487286,-0.025649178135512707
2025,Republican,45,30505,0.4074042387151597,0.04239380684477412
2025,Republican,50,35503,0.4103339896813523,0.04532355781096675
2025,Republican,55,24602,0.3468375891556489,-0.01817284271473668
2025,Republican,60,31879,0.346083889057599,-0.01892654281278655
2025,Republican,65,15854,0.30767970630988717,-0.0573307255604984
2025,Republican,70,27402,0.34744771134666924,-0.017562720523716324
2025,Republican,75,3664,0.3742573543861722,0.009246922515786626
2025,Republican,80,2153,0.31722762450663206,-0.04778280736375351
2025,Republican,90,1032,0.3848413487778103,0.019830916907424723
2026,Democrat,25,997,0.3475419171229229,-0.1286849787104603
2026,Democrat,30,2103,0.5444505246995168,0.06822362886613359
2026,Democrat,35,7455,0.4165403245188706,-0.05968657131451266
2026,Democrat,40,11143,0.4078336289070136,-0.06839326692636966
2026,Democrat,45,18163,0.4654556637301727,-0.010771232103210515
2026,Democrat,50,23670,0.4466619737409323,-0.02956492209245093
2026,Democrat,55,19473,0.46888630826950495,-0.007340587563878287
2026,Democrat,60,13916,0.4865700705966229,0.010343174763239649
2026,Democrat,65,15315,0.5069597223706402,0.030732826537257008
2026,Democrat,70,15841,0.5011642013564496,0.024937305523066333
2026,Democrat,75,17266,0.5314777775294048,0.0552508816960216
2026,Democrat,80,5626,0.5247310962342752,0.04850420040089193
2026,Democrat,85,1108,0.47062218554119584,-0.005604710292187398
2026,Republican,30,3275,0.45687755075404207,0.1306021360593389
2026,Republican,35,9525,0.3409136754539343,0.014638260759231136
2026,Republican,40,11306,0.3000781403540191,-0.026197274340684085
2026,Republican,45,34154,0.34184647357498316,0.015571058880279987
2026,Republican,50,23052,0.380518813037582,0.054243398342878835
2026,Republican,55,33559,0.3215464888391408,-0.004728925855562394
2026,Republican,60,30624,0.3158115472191983,-0.010463867475504873
2026,Republican,65,14039,0.2845556806683457,-0.04171973402635748
2026,Republican,70,23766,0.3196735369001748,-0.006601877794528366
2026,Republican,75,4146,0.17682522830984196,-0.1494501863848612
2026,Republican,80,1131,0.1733876964662827,-0.15288771822842048
2026,Republican,90,758,0.2749373498636895,-0.05133806483101366
