year,age_bracket,n,members,anger,share_angry,negative,joy,anger_se,anger_dev
2025,70,47986,70,0.43031047988063553,0.43973242195640394,0.31743520262440117,0.3845248639604539,0.0018691870072777722,-0.0062296294813288244
2025,75,21836,43,0.5434321336545479,0.568052756915186,0.41526182433699,0.2827973180836659,0.002769778049556939,0.10689202429258354
2025,80,10102,18,0.5323972166090191,0.5552365868144922,0.41349332341927997,0.279320994914535,0.0040298398185554815,0.09585710724705471
2025,85,1996,6,0.4940968930732015,0.5165330661322646,0.3645397299986504,0.28887974912742104,0.008935014523326098,0.057556783711237125
2025,90,1032,1,0.3848413487778103,0.375,0.19132953978000594,0.3538475275182259,0.011994987838037636,-0.05169876058415407
2026,25,997,1,0.3475419171229229,0.3370110330992979,0.26452508743421743,0.371199313330734,0.011998716037348338,-0.046070155152716674
2026,30,5378,5,0.49112187284540193,0.504090740052064,0.37592837675864654,0.27186756575206145,0.005483640408931219,0.09750980056976233
2026,35,16980,30,0.37411724840912275,0.37208480565371027,0.2846304017858292,0.3845890613522071,0.003015363717178883,-0.019494823866516853
2026,40,22845,45,0.3579908488292437,0.3592033267673452,0.27328306044164535,0.4345000578593002,0.0026207626149880557,-0.0356212234463959
2026,45,52317,65,0.384760129189577,0.38417722728749737,0.289413244865878,0.3780308950697204,0.0017185504779732349,-0.008851943086062575
2026,50,46722,65,0.41402783692029893,0.41794015667137535,0.31617341496314527,0.3481096712448445,0.0018495396717663176,0.02041576464465933
2026,55,53032,83,0.37564869701095177,0.37513199577613515,0.28921716228415456,0.4018928288351261,0.0017203735541330052,-0.01796337526468783
2026,60,44645,82,0.3687358550297691,0.36781274498824057,0.2788416692910565,0.4000782334403604,0.0018621598411188679,-0.024876217245870524
2026,65,29354,63,0.4005915837367739,0.41054030115146145,0.30782224659873236,0.39632337334653356,0.00237045885746957,0.006979511461134291
2026,70,39607,68,0.3922615545650282,0.39462721236145126,0.2922302325352227,0.3898890092805165,0.0020277478937974834,-0.0013505177106113986
2026,75,21412,48,0.4628064965157533,0.4736129273304689,0.35809467289226793,0.3380546504593689,0.002860725319250163,0.06919442424011368
2026,80,7619,20,0.4757900453238754,0.4917968237301483,0.3765348664370535,0.3181687685110219,0.004708956631415847,0.08217797304823582
2026,85,1174,6,0.4529401893391126,0.46507666098807493,0.3396537510678767,0.35255917058496067,0.011999063208176938,0.05932811706347302
2026,90,758,1,0.2749373498636895,0.2612137203166227,0.12311439939171302,0.436211405511169,0.012200444907063042,-0.1186747224119501
